,resi,n. coles cercanos
0,,625
1,,610
2,,664
3,,79
4,,891
5,,1111
6,,669
7,,138
8,,243
9,,38
10,,898
11,,38
12,,42
13,,950
14,,823
15,,980
16,,334
17,,618
18,,409
19,,172
20,,128
21,,531
22,,1022
23,,941
24,,5
25,,158
26,,30
27,,1118
28,,609
29,,29
30,,335
31,,0
32,,1059
33,,804
34,,745
35,,147
36,,880
37,,722
38,,822
39,,174
40,,1034
41,,1098
42,,8
43,,966
44,,829
45,,664
46,,1076
47,,1076
48,,749
49,,1141
50,,0
51,,979
52,,0
53,,458
54,,0
55,,73
56,,0
57,,0
58,,0
59,,0
60,,0
61,,7
62,,194
63,,796
64,,255
65,,30
66,,749
67,,0
68,,0
69,,0
70,,1
71,,0
72,,17
73,,0
74,,0
75,,0
